1	356	140	435	196
2	555	279	289	205
3	914	219	151	310
4	2090	160	262	221
5	2270	199	293	224
6	2549	100	67	232
7	3785	140	237	733
8	4005	120	238	729
9	4204	120	222	735
10	4583	139	227	747
11	4942	120	246	619
12	5141	399	240	621
13	5580	100	235	630
14	5699	160	241	649
15	5998	140	232	632
16	6158	259	237	687
17	6836	159	332	698
18	7055	259	335	700
19	7334	100	262	609
20	7454	139	248	615
21	7633	100	256	634
22	8012	100	253	639
23	8949	319	192	648
24	9408	160	194	637
25	9786	100	186	662
26	10325	140	189	653
27	11681	179	243	533
28	11880	379	237	553
29	12378	100	231	549
30	12598	120	223	537
31	12877	100	197	516
32	12996	120	203	518
33	13694	279	219	532
34	14013	199	211	549
35	14272	180	241	545
36	14472	319	243	538
37	15170	100	263	641
38	15469	239	257	618
39	15728	120	251	632
40	16087	120	243	634
41	16804	140	246	638
42	17064	179	277	535
43	17263	100	269	511
44	17821	219	135	493
45	18180	160	123	491
46	18479	160	123	493
47	18659	180	119	487
48	19117	120	125	499
49	19476	100	169	528
50	19795	100	167	530
51	19955	199	203	509
52	20652	199	156	595
53	21689	239	134	494
54	21948	479	126	494
55	22487	140	213	548
56	22666	160	136	495
57	22846	100	142	492
58	23045	120	202	516
59	23264	159	202	539
60	24201	219	218	543
61	24580	140	246	540
62	25019	100	64	203
63	25477	100	279	214
64	25796	319	307	602
65	26654	140	230	625
66	27192	140	196	701
67	27471	279	329	602
68	27989	538	290	210
69	28587	140	294	608
70	29345	678	304	223
71	30063	199	322	611
72	30502	239	335	595
73	30761	159	334	592
74	30940	379	286	208
75	31459	100	331	619
76	31578	100	336	620
77	31698	219	324	629
78	31937	279	289	608
79	32376	259	290	613
80	33293	159	369	605
81	33532	140	369	607
82	34250	100	265	684
83	34469	159	280	667
84	35147	160	312	650
85	35346	180	309	660
86	35665	199	306	648
87	35925	199	308	660
88	36323	139	261	696
89	36822	179	261	699
90	37061	140	330	667
91	37220	100	280	654
92	37440	120	274	665
93	38317	100	207	728
94	38656	140	314	703
95	39513	100	973	820
96	39992	120	1023	759
97	40291	120	1005	785
98	40510	120	1014	769
99	41387	120	302	684
100	42165	100	270	729
101	43361	120	190	581
102	44079	120	218	542
103	44438	219	223	549
104	44677	100	220	545
105	50060	120	275	642
106	51954	140	262	728
107	53549	120	232	633
108	54546	399	290	641
109	55383	100	297	607
110	55503	180	277	615
111	57716	199	1001	747
112	58334	120	995	761
113	59172	140	1011	814
114	60428	120	1037	826
115	60567	100	1024	802
116	60767	180	1029	814
117	62760	140	894	656
118	63817	180	923	707
119	64176	120	900	753
120	64674	100	851	724
121	66529	120	856	610
122	66728	100	894	730
123	69160	180	808	565
124	70556	199	271	589
125	70775	100	283	582
126	74404	259	293	189
127	74783	299	84	215
128	75301	538	297	183
129	75979	459	100	201
130	76477	279	299	182
131	77235	100	328	658
132	79707	299	520	179
133	80026	140	594	184
134	80206	259	596	181
135	80525	120	646	208
136	80664	359	667	209
137	81083	159	666	214
138	81482	140	572	232
