scanpath,saccade_length,ID,Ontologies,Visualization,Task_Success,Time_On_Task
121749.29214627144,121.87116330958102,p21,2,2,0.565217391,6
321753.78255786665,137.56040297471853,p33,2,2,0.347826087,27
339987.57017828285,101.67092409637645,p17,2,2,0.608695652,22
379906.500623286,100.98524737461085,p35,2,2,0.47826087,37
449181.23810306774,125.92689601992367,p27,2,2,0.086956522,50
518608.3565495179,141.8513010255793,p11,2,2,0.347826087,33
263107.55628353974,106.69406175326024,p7,2,2,0.086956522,20
334228.4466362501,138.05388130369687,p1,2,2,0.52173913,38
976608.4630925125,122.5970955426202,p3,2,2,0.39130434799999997,50
210346.13764080824,131.22029796681736,p5,2,2,0.434782609,27
1492083.295906426,132.1246166569048,p19,2,2,0.434782609,72
811677.1499221341,140.64757406379036,p25,2,2,0.347826087,39
723360.9010041296,143.98107105973915,p13,2,2,0.39130434799999997,27
1045774.9604932669,117.4104592447813,p23,2,2,0.39130434799999997,58
603219.4192444436,143.3165643251232,p31,2,2,0.52173913,44
138931.11051662732,120.0787472053823,p15,2,2,0.565217391,13
