1,75,179,756,345
2,1192,199,708,385
3,1531,100,500,207
4,2109,180,737,591
5,2428,120,585,386
6,2587,180,599,402
7,2866,120,225,544
8,3225,199,365,218
9,3524,100,300,219
10,3684,299,101,246
11,4023,140,363,220
12,4182,140,315,202
13,4442,439,304,229
14,5179,179,107,237
15,5379,120,113,250
16,5578,140,329,219
17,6076,219,494,195
18,6316,100,482,205
19,6834,120,610,236
20,6974,339,628,219
21,7472,100,623,214
22,7731,120,619,231
23,7970,100,503,239
24,8329,120,529,238
25,8808,140,536,285
26,9087,199,526,222
27,9486,199,465,193
28,9785,120,300,212
29,10004,199,278,220
30,10223,120,196,240
31,10403,140,126,248
32,10961,120,539,267
33,11101,180,487,211
34,11759,140,527,215
35,11918,179,526,196
36,12217,179,528,260
37,12417,120,529,276
38,12775,120,471,206
39,13015,140,476,206
40,13254,100,457,207
41,13413,239,549,216
42,13752,219,561,228
43,14251,100,617,261
44,14470,160,622,240
45,14670,359,460,212
46,15108,120,291,238
47,15248,179,270,241
48,15946,140,508,264
49,16185,100,527,265
50,16364,100,531,264
51,16504,319,517,262
52,17042,538,472,185
53,17979,199,633,168
54,18398,120,706,170
55,18697,279,535,266
56,19155,100,473,199
57,19395,319,464,230
58,19833,219,279,251
59,20372,199,129,261
60,20671,239,97,255
61,21069,179,279,239
62,21269,199,316,224
63,21887,140,574,248
64,22226,160,632,264
65,22425,239,637,267
66,22684,120,642,249
67,23342,160,611,260
68,23661,379,620,259
69,24120,100,619,241
70,24339,160,627,259
71,24519,518,618,250
72,25057,140,619,255
73,25515,279,638,266
74,26313,279,741,252
75,26612,100,731,248
76,27390,140,646,296
77,27549,199,646,254
78,27968,119,639,220
79,28407,159,650,241
80,28865,179,624,255
81,29204,379,632,252
82,29662,160,612,236
83,30121,100,608,238
84,30241,180,617,239
85,30500,100,666,260
86,30619,120,652,274
87,30819,100,649,264
88,30938,160,647,259
89,31118,160,619,258
90,31517,100,725,260
91,32553,219,560,236
92,32932,479,559,249
93,33431,100,602,257
94,34188,120,293,247
95,34388,100,292,257
96,34806,100,137,241
97,34946,279,109,263
98,35245,219,129,256
99,35484,120,277,262
100,35783,179,524,260
101,36242,140,302,265
102,36581,120,521,248
103,36720,159,527,261
104,40289,179,452,266
105,40568,160,303,268
106,41027,100,488,253
107,41186,140,495,256
108,41426,180,478,266
109,41685,140,483,263
110,41904,160,557,281
111,42084,239,280,266
112,42742,120,97,276
113,42881,140,110,284
114,43041,419,111,280
115,43479,140,257,292
116,43679,100,297,268
117,43978,140,332,281
118,44197,160,601,267
119,44476,140,626,281
120,44795,100,633,279
121,45074,100,621,288
122,45313,199,538,306
123,45533,100,458,249
124,45971,100,475,191
125,46390,100,415,252
126,46809,140,266,283
127,46968,100,290,289
128,47467,100,117,300
129,47865,100,288,281
130,48025,120,330,287
131,48304,100,537,307
132,48683,199,295,302
133,48902,100,292,286
134,49181,100,331,290
135,50298,139,324,283
136,50657,120,95,321
137,51175,299,482,296
138,51674,279,623,301
139,51973,259,633,298
140,52272,259,488,323
141,52571,120,529,264
142,53508,120,465,288
143,54006,120,466,293
144,54345,120,613,318
145,54644,179,614,295
146,54963,200,533,294
147,55541,199,623,300
148,56060,100,593,256
149,56239,140,423,198
150,56439,100,310,199
151,56558,359,318,210
152,57236,100,469,159
153,57356,179,297,188
154,57575,100,295,198
155,57794,160,312,213
156,58233,120,433,178
157,58672,199,99,210
158,58931,199,272,206
159,59190,120,382,209
160,59389,120,624,177
161,59529,120,627,214
162,59768,140,630,196
163,59968,140,642,192
164,60785,120,379,186
165,61164,100,304,195
166,61383,100,319,203
167,61642,259,104,212
168,61961,219,303,125
169,62200,200,263,68
170,62420,140,256,77
171,62579,279,204,69
172,62878,199,112,47
173,63118,100,121,60
174,63317,359,112,206
175,63736,140,250,204
176,63915,100,325,204
177,64174,120,619,194
178,64314,239,624,185
179,64772,120,1066,115
180,65411,120,639,199
181,65590,179,611,216
182,65809,140,542,219
183,66009,140,544,227
184,66367,239,481,183
185,66627,120,484,183
186,66806,159,573,209
187,67085,399,561,209
188,67703,140,430,193
189,68082,219,289,220
190,68421,140,89,232
191,68580,199,128,223
192,68800,140,320,223
193,70136,100,107,243
194,70255,140,110,234
195,70833,100,365,222
196,70973,160,368,196
197,71152,100,329,197
198,71272,140,328,205
199,71890,120,103,220
200,73246,100,639,218
201,73445,120,542,231
202,74183,100,306,225
203,74342,100,316,191
204,74502,180,536,242
205,75080,100,340,220
206,75399,159,550,271
207,76835,100,515,197
208,76994,120,536,212
209,77154,120,470,218
210,77512,120,282,226
211,77851,140,126,247
212,78370,139,310,226
213,78529,100,571,234
214,79706,160,619,236
215,80065,140,297,226
216,80244,120,304,236
217,80384,140,288,248
218,80822,239,106,241
219,81121,239,308,231
220,81520,100,281,252
221,81839,159,286,107
222,82118,140,262,71
223,83813,140,127,224
224,84012,140,304,235
225,84311,140,290,229
226,84670,160,279,239
227,85328,180,536,281
228,85707,120,497,218
229,85866,160,484,209
230,86524,180,282,194
231,87023,199,293,182
232,87501,139,285,206
233,89016,160,295,206
234,89395,100,303,224
235,90811,100,468,235
236,91010,319,464,205
237,91529,160,480,270
238,92087,239,287,274
239,92964,259,139,286
240,93782,219,305,299
241,94021,160,320,235
242,94619,259,292,199
243,95496,100,559,181
244,95975,180,311,207
245,96433,140,646,204
246,96792,160,639,198
247,98008,179,529,252
248,98766,100,128,237
249,98985,379,124,227
250,99683,100,358,223
251,99862,179,288,233
252,100361,120,572,219
253,100600,239,519,219
254,100879,160,351,210
255,101099,100,378,211
256,101358,199,296,212
257,101856,140,624,210
258,102355,100,329,199
259,102674,100,375,201
260,103252,239,296,206
261,104109,120,311,196
262,104448,100,345,206
263,104568,160,371,192
264,104947,179,109,216
265,105166,259,96,210
266,105545,120,110,229
267,105844,100,284,221
268,106103,160,382,205
269,106282,139,363,188
270,106761,120,137,212
271,108057,100,535,271
272,108655,179,460,206
273,109153,120,138,209
274,109293,239,123,226
275,109572,100,105,236
276,109751,199,367,232
277,110230,100,292,236
278,110509,100,327,201
279,110728,140,324,207
280,111606,100,558,261
281,111765,140,529,244
282,111925,100,533,226
283,112403,140,454,202
284,112722,319,532,246
285,113061,100,539,264
286,113201,100,543,251
287,113340,140,534,259
288,115174,100,848,98
289,115454,279,1235,122
290,118105,120,537,252
291,118723,299,526,245
292,119262,120,527,223
293,119501,140,523,238
294,119760,100,331,221
295,120019,140,309,225
296,120199,159,554,258
297,120458,120,523,257
298,120657,100,292,249
299,120857,179,299,222
300,121156,120,290,221
301,121515,120,366,214
302,121754,120,139,232
303,121953,120,109,225
304,122093,140,114,222
305,122352,100,351,208
306,122611,120,285,220
307,122751,140,281,222
308,123010,120,560,275
309,123249,100,527,238
310,123508,120,470,213
311,124086,100,441,210
312,124545,199,711,263
313,125063,100,644,236
314,125303,120,683,254
315,125542,100,524,240
316,126280,199,465,217
317,126838,100,266,250
318,127257,160,89,233
319,127436,120,284,227
320,127596,120,284,245
321,127974,100,627,224
322,128233,140,633,231
323,128692,139,303,216
324,129350,100,93,245
325,129789,140,102,244
326,130825,120,291,247
327,131184,120,269,230
328,131523,120,299,247
329,132281,199,120,225
330,132560,319,110,237
331,133776,160,103,250
332,134015,259,283,248
333,135152,179,93,236
334,135571,160,508,257
335,136368,100,298,232
336,136866,259,98,237
337,137245,100,134,249
338,137445,140,315,245
339,137604,120,264,229
340,138103,140,287,239
341,139438,100,109,244
342,139698,219,123,249
343,139957,179,125,248
344,140156,100,129,235
345,140276,100,132,235
346,140455,160,310,247
347,140854,180,284,245
348,141572,139,300,211
349,142329,219,308,227
350,142888,279,103,245
351,143187,160,105,240
352,143725,120,533,264
353,144263,140,464,203
354,144443,100,475,215
355,144662,179,289,237
356,145739,140,525,255
357,146257,159,627,239
358,146556,120,609,257
359,146995,120,528,257
360,147433,199,626,242
