6	1	-1280	-1024	0.716	0.454	-1.000	-1.000	4	-1280	-1024	0.453	0.484	-1.000	-1.000	4
26	2	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
46	3	392	271	0.717	0.454	737.810	3.143	0	-1280	-1024	0.717	0.454	-1.000	-1.000	4
66	4	399	261	0.717	0.454	737.810	3.136	0	-1280	-1024	0.717	0.454	-1.000	-1.000	4
86	5	414	260	0.718	0.453	737.810	3.163	0	-1280	-1024	0.718	0.453	-1.000	-1.000	4
106	6	425	262	0.718	0.453	736.585	3.161	0	-1280	-1024	0.454	0.483	-1.000	-1.000	4
126	7	415	264	0.718	0.453	736.585	3.135	0	-1280	-1024	0.718	0.453	-1.000	-1.000	4
146	8	411	248	0.718	0.453	736.585	3.139	0	381	257	0.454	0.482	742.950	3.252	0
166	9	-1280	-1024	0.454	0.482	-1.000	-1.000	4	413	235	0.454	0.482	742.950	3.114	0
186	10	428	214	0.719	0.452	736.585	3.004	0	-1280	-1024	0.719	0.452	-1.000	-1.000	4
206	11	427	208	0.720	0.452	739.161	3.015	0	-1280	-1024	0.456	0.481	-1.000	-1.000	4
226	12	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
268	13	419	223	0.720	0.452	739.161	2.954	0	379	249	0.456	0.481	745.742	3.056	0
270	14	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
285	15	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
305	16	-1280	-1024	0.722	0.452	-1.000	-1.000	4	-1280	-1024	0.457	0.480	-1.000	-1.000	4
325	17	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
345	18	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
365	19	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
385	20	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
405	21	-1280	-1024	0.724	0.452	-1.000	-1.000	4	-1280	-1024	0.459	0.480	-1.000	-1.000	4
425	22	314	204	0.725	0.453	737.052	3.107	0	-1280	-1024	0.725	0.453	-1.000	-1.000	4
445	23	311	173	0.725	0.453	737.052	3.062	0	-1280	-1024	0.725	0.453	-1.000	-1.000	4
465	24	298	186	0.725	0.453	737.052	3.035	0	-1280	-1024	0.725	0.453	-1.000	-1.000	4
485	25	-1280	-1024	0.460	0.481	-1.000	-1.000	4	284	209	0.460	0.481	744.007	3.033	0
505	26	-1280	-1024	0.725	0.453	-1.000	-1.000	4	283	203	0.460	0.481	746.472	3.043	0
525	27	310	206	0.725	0.454	738.129	3.128	0	-1280	-1024	0.725	0.454	-1.000	-1.000	4
545	28	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
564	29	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4	-1280	-1024	-1.000	-1.000	-1.000	-1.000	4
584	30	319	196	0.725	0.454	738.129	3.197	0	279	203	0.461	0.481	746.472	3.119	0
